Experiment;Sample_date;Time_years;ambient_CO2;increased_CO2;ambient_CO2_n;increased_CO2_n;Depth
;;;;;;;
ArizonaFACE - wheat - high N;01.11.95;0;1344;1228;4;4;0-15 cm
ArizonaFACE - wheat - high N;01.05.96;0.5;1363;1305;4;4;0-15 cm
ArizonaFACE - wheat - high N;01.12.96;1;1254;1264;4;4;0-15 cm
ArizonaFACE - wheat - high N;01.05.97;1.5;1258;1400;4;4;0-15 cm
;;;;;;;
Biosphere;average 1999;0;5950;6362;1;1;0-25 cm
Biosphere;average 2000;1;5254;4735;1;1;0-25 cm
Biosphere;average 2001;2;6084;4785;1;1;0-25 cm
Biosphere;average 2002;3;5470;4064;1;1;0-25 cm
Biosphere;average 2003;4;5335;4220;1;1;0-25 cm
;;;;;;;
China FACE - low N;01.03.08;3.66;1937;2192;3;3;0-15 cm
China FACE - low N;01.06.08;4;1937;2123;3;3;0-15 cm
;;;;;;;
China FACE - high N;01.01.00;3.66;1926;2135;3;3;0-15 cm
China FACE - high N;01.06.08;4;1937;2105;3;3;0-15 cm
;;;;;;;
China OTC - low N;01.07.05;0.33;1103;1168;2;3;0-20 cm
China OTC - low N;01.11.05;0.67;1036;1097;2;3;0-20 cm
China OTC - low N;01.04.06;1;1936;2385;2;3;0-20 cm
China OTC - low N;01.08.06;1.33;2319;2218;2;3;0-20 cm
China OTC - low N;01.11.06;1.66;2060;2051;2;3;0-20 cm
China OTC - low N;01.04.07;2;2431;2301;2;3;0-20 cm
China OTC - low N;01.08.07;2.33;2263;2361;2;3;0-20 cm
China OTC - low N;01.11.07;2.66;2116;2158;2;3;0-20 cm
China OTC - low N;01.04.08;3;3625;3315;2;3;0-20 cm
China OTC - low N;01.08.08;3.33;3253;3279;2;3;0-20 cm
China OTC - low N;01.11.08;3.66;3287;3410;2;3;0-20 cm
;;;;;;;
China OTC - high N;01.07.05;0.33;1201;1198;2;3;0-20 cm
China OTC - high N;01.11.05;0.67;922;1409;2;3;0-20 cm
China OTC - high N;01.04.06;1;1930;2373;2;3;0-20 cm
China OTC - high N;01.08.06;1.33;1951;2514;2;3;0-20 cm
China OTC - high N;01.11.06;1.66;1587;3054;2;3;0-20 cm
China OTC - high N;01.04.07;2;2015;3030;2;3;0-20 cm
China OTC - high N;01.08.07;2.33;2273;2725;2;3;0-20 cm
China OTC - high N;01.11.07;2.66;2187;2702;2;3;0-20 cm
China OTC - high N;01.04.08;3;3602;3947;2;3;0-20 cm
China OTC - high N;01.08.08;3.33;3581;4170;2;3;0-20 cm
China OTC - high N;01.11.08;3.66;3645;4158;2;3;0-20 cm
;;;;;;;
FACTS I;01.08.96;0;1977;2142;3;3;0-15 cm
FACTS I;01.10.99;3.17;1902;2208;3;3;0-15 cm
FACTS I;01.08.02;6;2407;2734;3;3;0-15 cm
FACTS I;01.08.06;9;2164;2096;3;3;0-15 cm
;;;;;;;
FACTS II - Aspen;23.06.05;4;3575;3562;3;3;0-10 cm
FACTS II - Aspen;25.06.05;6;3625;4435;3;3;0-10 cm
FACTS II - Aspen;26.06.05;7;3235;3243;3;3;0-10 cm
FACTS II - Aspen;27.06.05;8;3741;3506;3;3;0-10 cm
