TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198901,-2.434,-3.57,1.994,-0.65,3.068,73.35,213.17,2.399,84.487,0.195,0.952
198902,-0.926,-2.184,1.628,0.708,2.123,95.135,244.445,2.156,83.627,1.487,1.333
198903,1.388,-0.235,1.815,2.942,2.408,155.31,250.861,2.763,83.492,1.174,1.452
198904,1.345,0.023,1.186,2.311,1.902,157.187,265.647,1.977,82.787,4.213,2.179
198905,6.432,4.323,1.62,7.651,2.38,247.208,277.71,3.26,83.904,2.959,1.954
198906,7.855,6.024,1.315,8.772,1.917,230.419,297.222,3.576,83.752,4.261,1.82
198907,11.054,9.248,1.142,11.994,1.89,223.112,318.652,3.908,84.149,4.145,1.906
198908,10.64,9.009,1.396,11.701,2.153,211.278,311.108,4.415,83.894,2.597,1.787
198909,7.812,6.514,1.292,8.928,2.168,149.08,299.619,3.325,83.963,1.805,1.773
198910,4.409,3.066,1.588,5.935,2.279,118.368,265.005,3.001,84.042,0.773,1.75
198911,-1.462,-2.523,1.812,0.088,2.322,71.681,228.899,1.829,83.437,1.263,1.428
198912,-2.706,-3.579,1.826,-1.209,2.555,55.151,219.418,1.98,83.392,0.94,1.513
199001,-3.712,-4.86,2.076,-1.87,2.987,65.667,213.789,1.968,83.884,0.537,1.093
199002,-0.174,-1.516,1.61,1.522,2.066,94.265,243.51,2.468,83.541,3.218,1.859
199003,1.044,-0.548,1.94,2.595,2.556,156.161,242.501,2.917,84.222,1.078,1.486
199004,0.801,-0.605,1.245,1.819,2.056,167.569,259.812,2.13,83.119,2.714,1.716
199005,7.135,5.306,1.515,8.195,2.241,237.265,283.349,3.659,83.91,2.739,1.437
199006,8.759,6.911,1.26,9.687,1.951,212.924,307.579,3.52,83.701,4.24,1.904
199007,11.586,9.598,1.695,12.624,2.534,261.643,307.511,6.482,84.105,2.708,1.77
199008,11.313,9.578,1.683,12.444,2.355,225.945,306.484,5.196,84.235,2.952,1.637
199009,6.874,5.514,1.504,8.038,2.249,152.315,289.792,3.247,83.837,1.781,1.774
199010,5.081,3.902,1.415,6.397,1.875,99.575,280.758,2.403,83.609,2.496,2.142
199011,-1.694,-2.705,1.549,-0.239,1.685,61.973,244.753,1.555,83.12,3.056,1.414
199012,-5.804,-6.398,1.056,-4.771,1.282,48.803,224.535,1.284,83.168,1.105,1.511
199101,-4.003,-4.876,1.453,-2.656,2.106,63.348,222.972,1.712,83.839,1.018,1.147
199102,-4.774,-5.991,1.437,-3.241,1.991,106.147,225.866,1.781,83.09,0.864,1.27
199103,1.342,0.037,1.276,2.611,1.999,134.171,262.725,2.107,83.254,1.336,1.634
199104,0.661,-0.846,1.606,1.763,2.298,200.044,249.558,2.456,83.237,1.967,1.474
199105,2.982,1.43,1.418,3.861,1.941,209.434,274.984,2.721,83.479,3.32,2.112
199106,8.247,6.43,1.499,9.16,2.071,221.546,301.311,3.599,83.673,4.486,1.942
199107,12.316,10.35,1.421,13.338,2.165,246.433,321.216,4.823,84.029,4.933,1.67
199108,12.058,10.328,1.354,13.189,2.349,225.664,313.863,5.506,84.231,1.764,1.585
199109,9.461,8.004,1.452,10.692,2.239,163.374,302.445,3.768,83.97,3.297,1.844
199110,3.218,2.063,1.328,4.522,1.863,109.719,266.698,2.399,83.609,1.368,1.789
199111,-1.168,-2.07,1.446,0.155,1.622,59.077,246.536,1.777,83.277,1.751,1.607
199112,-5.028,-5.804,1.587,-3.688,2.071,54.003,211.221,1.771,84.018,2.673,1.498
199201,-3.361,-4.374,1.456,-1.768,2.204,67.316,219.932,1.895,84.176,0.267,1.095
199202,-2.185,-3.438,1.592,-0.59,1.92,103.513,236.784,2.053,83.906,1.083,1.474
199203,-0.355,-1.715,1.45,0.961,2.036,145.748,249.384,2.112,83.292,2.464,1.704
199204,1.859,0.466,1.489,2.862,2.074,186.749,257.592,2.413,83.132,3.106,1.888
199205,7.327,5.375,1.592,8.431,2.33,238.66,280.596,3.798,83.888,2.624,1.716
199206,8.664,6.849,1.102,9.571,1.893,221.709,305.267,3.221,83.545,4.324,1.905
199207,11.542,9.721,1.22,12.5,2.02,225.013,321.441,4.385,84.07,3.559,1.568
199208,13.115,11.363,1.32,14.264,2.207,226.463,321.084,5.395,84.116,3.374,1.778
199209,8.052,6.608,1.437,9.294,2.279,158.033,293.816,3.628,84.103,1.919,1.885
199210,2.204,1.343,1.167,3.187,1.46,78.536,274.572,1.696,82.915,3.895,1.733
199211,0.583,-0.29,1.305,1.859,1.507,58.228,251.904,1.795,83.652,1.898,1.62
199212,-3.737,-4.477,1.333,-2.446,1.789,47.491,224.076,1.65,83.493,1.65,1.41
199301,-2.558,-3.389,1.483,-1.23,1.915,60.297,228.461,1.782,84.097,0.51,1.288
199302,-3.102,-4.486,1.72,-1.315,2.419,111.093,217.482,2.349,83.918,0.904,1.5
199303,-1.552,-3.016,1.65,-0.131,2.221,158.237,239.23,2.136,83.54,0.982,1.724
199304,2.772,1.172,1.19,3.922,2.112,192.214,263.62,2.699,83.199,1.96,2.022
199305,7.163,5.212,1.443,8.274,2.185,237.387,283.647,3.283,83.573,3.138,1.83
199306,9.505,7.533,1.37,10.495,2.039,233.25,305.582,3.678,83.868,3.921,2.051
199307,9.95,8.253,1.62,10.842,2.179,234.511,307.692,4.108,83.984,5.032,2.009
199308,11.011,9.308,1.293,12.107,2.096,215.918,311.314,4.158,84.123,4.552,1.822
199309,6.521,5.253,1.255,7.607,1.941,140.28,292.975,2.465,83.533,3.346,2.275
199310,3.38,2.37,1.405,4.543,1.921,90.243,272.008,2.092,83.432,4.149,2.24
199311,-2.09,-2.954,1.316,-0.811,1.766,66.214,241.439,1.552,83.45,0.947,1.446
199312,-3.028,-3.567,1.293,-2.088,1.405,45.149,236.566,1.497,83.005,1.691,1.699
199401,-3.215,-3.916,1.319,-2.102,1.472,54.41,240.199,1.451,83.177,1.995,1.764
199402,-3.391,-4.455,1.093,-2.048,1.603,89.363,239.496,1.558,83.052,0.855,1.68
199403,1.857,0.52,1.56,3.143,2.096,155.654,255.06,2.521,83.749,0.852,1.596
199404,0.905,-0.51,1.238,1.928,2.029,188.444,257.4,2.327,82.957,2.349,1.881
199405,6.338,4.693,1.46,7.284,2.125,210.73,280.729,3.194,83.476,2.474,1.991
199406,9.88,7.826,1.559,10.912,2.316,257.653,302.599,5.1,84.043,2.32,2.258
199407,12.923,11.032,1.222,13.908,2.061,259.269,320.498,5.152,84.163,5.204,1.494
199408,12.135,10.444,1.371,13.229,2.209,223.901,316.687,4.967,83.993,3.451,1.674
199409,7.958,6.699,1.234,9.035,2.057,145.733,301.372,3.101,83.724,3.557,2.152
199410,3.739,2.405,1.501,5.243,2.181,116.878,263.482,2.793,83.697,1.246,1.66
199411,1.954,1.134,1.138,3.171,1.47,58.593,259.704,1.781,83.895,1.379,1.593
199412,-1.967,-2.567,1.088,-0.925,1.313,45.465,242.874,1.621,83.737,1.163,1.504
199501,-5.915,-6.543,1.238,-4.911,1.382,55.182,221.231,1.388,83.178,2.351,1.947
199502,-1.134,-2.146,1.327,0.16,1.58,79.535,253.23,1.815,83.328,1.69,1.655
199503,-2.387,-3.867,1.639,-0.964,2.142,160.55,237.123,2.054,83.067,1.762,1.991
199504,1.975,0.481,1.431,3.086,2.145,187.873,258.856,2.508,83.374,2.238,2.026
199505,5.883,4.261,1.571,6.822,2.252,214.324,279.176,3.553,83.576,3.005,1.955
199506,7.728,6.093,1.404,8.546,1.972,204.371,303.349,3.535,83.67,3.94,1.719
199507,12.772,10.762,1.221,13.816,2.078,255.066,323.58,4.784,84.045,4.385,1.566
199508,10.058,8.622,1.055,10.985,1.773,198.201,313.738,3.826,83.892,3.426,1.711
199509,5.529,4.201,1.339,6.658,2.089,148.028,284.944,2.706,83.495,2.173,1.876
199510,6.699,5.202,1.695,8.389,2.566,130.388,273.374,3.639,84.324,0.179,1.354
199511,-1.827,-2.722,1.407,-0.514,1.587,65.158,242.912,1.498,83.467,1.246,1.989
199512,-3.518,-4.061,1.135,-2.582,1.305,41.785,240.321,1.366,83.071,1.651,1.54
199601,-2.691,-3.578,1.145,-1.283,1.705,56.325,232.568,1.59,83.118,0.527,1.538
199602,-5.198,-6.333,1.362,-3.759,1.731,96.335,228.635,1.494,82.695,0.74,1.707
199603,-2.248,-3.656,1.453,-0.897,2.128,158.718,240.972,1.952,83.016,0.678,1.471
199604,2.414,0.852,1.369,3.533,2.18,195.965,258.715,2.919,83.384,0.951,1.749
199605,5.96,4.271,1.546,6.921,2.105,209.64,287.501,3.028,83.363,3.188,2.01
199606,9.94,7.974,1.337,10.922,2.128,246.562,305.549,4.555,84.087,3.04,1.86
199607,10.251,8.432,1.499,11.208,2.273,239.018,309.333,4.725,83.98,3.214,1.954
199608,9.784,8.319,1.143,10.744,1.791,187.753,314.864,3.098,83.871,4.515,1.564
199609,4.689,3.448,1.244,5.765,2.069,147.278,282.449,2.659,83.458,1.306,1.96
199610,3.095,2.028,1.453,4.321,1.917,93.183,268.935,2.213,83.721,2.462,1.728
199611,-1.181,-1.893,1.034,-0.138,1.23,56.827,252.29,1.498,83.067,3.322,2.109
199612,-3.606,-4.15,1.166,-2.67,1.395,44.739,234.837,1.437,82.924,1.036,1.567
199701,-2.677,-3.581,1.372,-1.254,1.909,61.605,228.783,1.845,83.609,0.644,1.195
199702,-1.606,-2.903,1.714,0.067,2.059,99.569,235.326,2.136,83.853,1.103,1.548
199703,0.739,-0.794,1.705,2.239,2.337,152.941,246.094,2.455,83.954,1.132,1.598
199704,0.333,-1.361,2.092,1.585,2.593,225.56,233.677,2.764,83.461,1.423,1.881
199705,6.266,4.189,1.633,7.454,2.536,253.672,267.839,4.05,83.632,1.792,2.114
199706,8.7,7.052,1.119,9.526,1.756,195.984,312.965,2.868,83.444,5.708,1.963
199707,9.892,8.104,1.372,10.828,2.036,228.372,310.915,3.933,83.953,4.252,1.981
199708,11.725,10.069,1.344,12.803,2.172,211.487,317.694,4.836,84.086,3.346,1.402
199709,9.705,7.967,1.69,11.204,2.831,181.068,294.049,4.774,84.252,0.722,1.342
199710,3.669,2.474,1.386,5.025,2.112,113.593,266.626,2.772,83.639,0.799,1.695
199711,-0.204,-1.042,1.325,1.012,1.619,63.092,244.41,1.664,82.967,1.288,1.667
199712,-2.977,-3.527,1.116,-2.026,1.249,39.753,250.026,1.297,83.062,1.902,1.572
199801,-3.405,-4.279,1.265,-2.046,1.73,63.331,226.062,1.734,83.42,0.951,1.619
199802,-0.275,-1.746,1.748,1.624,2.419,113.7,228.799,2.776,84.112,0.258,1.183
199803,-1.387,-2.866,1.744,0.032,2.118,156.944,241.174,2.082,83.694,1.01,2.001
199804,1.536,0.187,1.219,2.512,2.047,179.841,260.631,2.396,82.679,3.007,1.938
199805,6.496,4.555,1.555,7.602,2.375,237.592,276.611,4.006,83.597,1.288,1.803
199806,10.069,8.032,1.544,11.091,2.209,252.861,305.282,4.629,83.93,4.14,1.991
199807,11.469,9.619,1.382,12.428,2.146,236.837,318.727,4.771,83.806,3.355,2.015
199808,11.472,9.814,1.47,12.548,2.358,222.604,310.568,5.17,84.084,2.412,1.615
199809,6.909,5.603,1.434,8.032,2.065,143.687,293.899,2.877,83.509,3.959,1.927
199810,3.044,2.077,1.31,4.144,1.701,89.005,274.129,1.929,83.511,2.994,1.85
199811,-3.196,-4.019,1.423,-1.986,1.567,62.862,237.991,1.549,83.287,1.517,1.389
199812,-4.13,-4.696,1.082,-3.15,1.407,48.766,224.65,1.582,83.637,0.675,1.493
199901,-3.376,-4.196,1.26,-2.076,1.747,60.831,230.384,1.798,83.321,1.484,1.512
199902,-5.478,-6.473,1.441,-4.213,1.563,87.455,229.394,1.456,82.958,2.72,2.06
199903,-0.308,-1.756,1.3,1.083,2.144,148.854,251.026,2.136,83.052,1.647,1.715
199904,1.813,0.368,1.457,2.874,2.144,182.162,259.013,2.429,83.262,2.643,1.627
199905,7.517,5.796,1.299,8.506,2.046,203.285,293.773,3.132,83.746,3.622,1.827
199906,8.755,6.904,1.315,9.684,2.009,232.223,302.184,3.68,83.906,3.784,1.974
199907,11.185,9.363,1.332,12.132,2.05,228.714,315.843,4.416,83.945,2.669,1.838
199908,10.9,9.434,1.116,11.854,1.88,188.313,321.627,3.571,83.807,3.75,1.748
199909,9.413,8.062,1.307,10.551,2.174,156.906,306.323,3.694,83.746,3.213,1.836
199910,4.355,3.151,1.347,5.717,1.974,108.9,273.04,2.51,83.751,1.836,1.911
199911,-2.227,-3.121,1.253,-0.918,1.585,61.42,238.366,1.667,83.572,1.866,1.757
199912,-4.592,-5.123,1.388,-3.67,1.433,43.38,231.563,1.558,83.04,1.753,1.788
200001,-5.409,-6.387,1.535,-3.856,2.02,62.861,211.042,1.538,83.724,0.675,1.212
200002,-1.984,-3.071,1.356,-0.604,1.664,94.359,246.948,1.648,83.779,1.529,1.525
200003,-0.625,-1.963,1.556,0.65,1.974,146.085,251.741,1.928,83.521,2.195,1.832
200004,2.981,1.499,1.323,4.054,2.054,187.636,259.576,2.725,82.951,2.593,1.997
200005,7.534,5.718,1.34,8.575,2.059,223.872,290.574,3.077,83.764,3.133,1.907
200006,10.661,8.522,1.5,11.73,2.289,258.723,303.805,5.121,84.184,2.399,1.846
200007,9.254,7.509,1.414,10.17,2.026,229.471,307.102,3.913,83.631,4.225,2.216
200008,11.856,10.184,1.263,12.962,2.219,208.653,316.729,5.04,84.154,3.865,1.628
200009,8.429,7.02,1.635,9.636,2.362,162.373,296.46,3.758,83.774,2.018,1.812
200010,4.446,3.51,1.25,5.525,1.654,83.208,285.69,1.972,83.615,3.072,2.183
200011,-0.83,-1.482,1.153,0.132,1.356,53.595,253.728,1.482,82.941,4.786,1.844
200012,-1.889,-2.39,0.964,-1.016,1.27,43.302,238.328,1.538,83.17,1.006,1.563
200101,-3.973,-4.637,1.13,-2.924,1.357,49.676,241.781,1.367,83.044,1.905,1.705
200102,-2.796,-3.973,1.157,-1.295,1.598,96.679,243.221,1.651,83.344,1.092,1.917
200103,0.804,-0.331,1.037,1.9,1.612,117.087,271.449,1.78,82.717,3.098,1.893
