TIMESTAMP_START,TIMESTAMP_END,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,19890107,-4.741,-5.758,1.917,-3.047,2.871,55.141,204.055,1.874,84.293,0.543,1.104
19890108,19890114,-0.731,-1.571,1.69,0.67,2.309,61.549,235.404,2.086,84.225,0.135,1.157
19890115,19890121,-1.853,-2.987,1.865,0.037,3.035,79.098,210.276,2.624,84.645,0.0,0.923
19890122,19890128,-2.764,-4.061,2.158,-0.892,3.552,85.231,208.381,2.603,84.463,0.184,0.758
19890129,19890204,-1.079,-2.761,2.537,1.276,3.832,102.316,211.253,3.268,84.938,0.0,0.613
19890205,19890211,-0.158,-1.712,2.213,1.983,2.966,114.448,222.718,2.885,84.606,0.0,0.78
19890212,19890218,-2.545,-3.627,1.477,-1.183,1.54,85.791,249.679,1.653,83.978,1.604,1.479
19890219,19890225,0.967,0.016,0.912,2.09,1.316,66.683,279.956,1.574,83.015,2.809,2.025
19890226,19890304,-2.592,-3.737,1.335,-1.265,1.661,128.751,242.187,1.73,81.758,2.788,1.754
19890305,19890311,1.265,-0.662,2.138,3.223,2.732,160.97,245.876,2.959,83.897,0.66,1.075
19890312,19890318,1.164,-0.136,1.124,2.464,1.808,111.008,271.814,2.256,83.157,2.396,1.703
19890319,19890325,0.215,-1.262,2.155,1.553,2.366,150.824,252.064,2.095,83.364,0.865,1.57
19890326,19890401,5.048,3.076,1.968,6.717,2.953,213.549,236.452,4.223,83.955,0.643,1.284
19890402,19890408,1.157,-0.204,1.036,2.256,1.797,134.552,265.055,1.645,82.546,5.846,2.177
19890409,19890415,2.46,1.3,1.046,3.352,1.743,150.744,268.596,2.207,82.754,3.046,2.299
19890416,19890422,1.08,-0.246,1.153,2.011,1.761,147.801,274.237,1.77,82.837,4.765,1.682
19890423,19890429,0.654,-0.79,1.537,1.599,2.243,182.179,258.927,2.21,82.873,3.764,2.486
19890430,19890506,4.42,2.156,1.983,5.903,2.979,269.848,254.899,3.832,83.926,0.136,2.632
19890507,19890513,5.402,3.212,1.62,6.664,2.55,242.666,272.882,3.1,83.468,2.85,2.097
19890514,19890520,6.118,4.223,1.792,7.158,2.359,228.276,283.733,3.127,84.135,2.643,1.913
19890521,19890527,8.19,5.926,1.333,9.432,2.119,267.015,284.564,3.45,84.172,4.325,1.7
19890528,19890603,6.761,5.351,0.905,7.521,1.472,176.027,301.382,1.91,83.373,7.061,1.447
19890604,19890610,4.616,2.561,1.409,5.644,1.974,235.015,276.529,2.431,83.425,3.753,1.507
19890611,19890617,8.742,6.614,1.262,9.806,2.188,266.076,291.512,4.823,84.151,1.041,2.105
19890618,19890624,9.328,7.569,1.447,10.207,1.957,231.432,306.53,4.13,83.963,5.937,2.228
19890625,19890701,9.869,8.156,1.391,10.725,1.77,233.278,310.95,3.635,83.783,4.359,1.533
19890702,19890708,10.716,9.084,1.007,11.531,1.56,190.818,327.448,3.049,84.063,6.112,1.994
19890709,19890715,10.294,8.602,0.855,11.14,1.658,206.517,319.896,2.975,84.074,5.231,1.829
19890716,19890722,11.152,8.899,1.685,12.295,2.759,282.372,300.973,6.378,84.296,0.847,1.957
19890723,19890729,12.316,10.509,0.931,13.33,1.799,230.091,325.5,3.731,84.345,4.065,1.755
19890730,19890805,8.692,7.01,1.616,9.701,1.988,221.317,298.618,3.765,83.584,2.845,2.172
19890806,19890812,11.11,9.435,1.135,12.115,1.851,197.147,321.71,3.348,83.819,3.464,1.71
19890813,19890819,13.027,11.394,1.391,14.085,2.103,201.641,331.335,4.362,84.226,4.101,1.62
19890820,19890826,12.77,11.064,1.349,13.958,2.491,217.977,316.456,6.654,84.166,0.409,1.198
19890827,19890902,6.825,5.586,1.484,7.751,2.089,181.987,290.06,3.211,83.559,2.836,2.333
19890903,19890909,6.814,5.456,1.58,7.87,2.432,170.345,289.912,3.64,83.851,1.522,1.775
19890910,19890916,7.924,6.637,1.242,9.003,2.056,144.889,303.551,2.609,83.825,2.944,1.428
19890917,19890923,11.121,9.382,1.655,12.72,2.801,182.902,300.624,4.898,84.359,0.349,1.579
19890924,19890930,5.374,4.538,0.716,6.156,1.411,103.487,301.954,2.107,83.9,2.139,2.343
19891001,19891007,4.43,3.117,1.636,5.749,2.406,136.926,270.473,3.048,84.013,1.053,1.596
19891008,19891014,1.951,0.94,1.177,3.051,1.716,107.568,267.911,1.977,83.432,1.104,1.993
19891015,19891021,4.229,2.732,2.083,5.992,2.729,128.297,255.47,3.367,84.272,0.425,1.414
19891022,19891028,7.004,5.28,1.663,9.063,2.708,127.829,255.511,4.282,84.436,0.066,1.888
19891029,19891104,4.231,3.362,1.226,5.379,1.418,62.803,282.538,1.513,83.769,2.632,2.195
19891105,19891111,-1.598,-2.426,1.867,-0.439,2.096,60.266,248.504,1.622,83.169,3.033,1.399
19891112,19891118,-1.343,-2.822,2.155,0.769,3.284,90.594,205.71,2.535,83.947,0.0,1.16
19891119,19891125,-2.139,-3.13,1.534,-0.625,1.721,63.476,228.968,1.471,82.99,0.522,1.51
19891126,19891202,-4.599,-5.707,2.272,-2.822,3.18,75.193,196.478,2.039,83.981,0.003,0.939
19891203,19891209,-4.307,-5.332,2.29,-2.6,3.566,71.265,198.331,2.205,83.763,0.0,0.796
19891210,19891216,-2.304,-2.864,1.351,-1.282,1.772,43.75,238.122,1.563,82.785,0.593,2.021
19891217,19891223,0.356,-0.129,1.318,1.239,0.951,35.047,262.996,1.442,83.098,3.443,2.574
19891224,19891231,-4.058,-5.345,2.022,-1.898,3.335,63.552,188.373,2.478,83.493,0.109,0.951
19900101,19900107,-5.927,-7.13,2.35,-3.921,3.511,65.253,184.009,1.938,83.773,0.356,0.751
19900108,19900114,-5.968,-7.34,3.04,-3.682,4.754,76.866,179.747,2.409,84.442,0.0,0.405
19900115,19900121,-2.534,-3.618,2.153,-0.728,2.753,64.577,229.177,2.018,84.299,0.31,0.737
19900122,19900128,-1.638,-2.697,1.381,-0.088,1.724,62.543,240.317,1.808,83.414,1.064,2.093
19900129,19900204,-1.087,-1.985,0.934,0.171,1.404,57.502,252.901,1.484,83.392,0.834,1.969
19900205,19900211,-0.867,-2.064,1.565,0.795,2.079,94.603,226.904,2.834,83.908,0.763,1.794
19900212,19900218,-2.178,-3.396,1.606,-0.666,1.727,76.285,254.764,1.551,82.383,7.961,2.072
19900219,19900225,3.424,1.328,2.097,5.903,2.972,138.401,236.373,4.014,84.692,0.02,1.044
19900226,19900304,-2.935,-3.981,1.506,-1.74,1.578,112.663,244.053,1.465,83.289,5.176,2.744
19900305,19900311,1.857,0.027,2.021,3.719,2.89,152.731,232.13,3.586,84.451,0.247,1.39
19900312,19900318,3.138,1.401,1.858,4.875,2.754,165.134,243.95,3.317,84.688,0.573,1.028
19900319,19900325,3.063,1.502,2.396,4.51,2.74,163.454,246.415,3.329,84.237,1.1,1.183
19900326,19900401,-0.294,-1.811,1.64,0.989,2.348,163.511,255.56,2.268,83.723,1.623,1.932
19900402,19900408,0.848,-0.185,0.716,1.681,1.578,118.396,274.233,1.664,82.847,3.228,1.841
19900409,19900415,-0.538,-1.846,1.211,0.454,2.051,150.856,254.276,1.832,82.882,3.504,1.974
19900416,19900422,-0.483,-1.972,1.389,0.552,2.062,180.159,254.591,1.906,82.858,3.156,1.602
19900423,19900429,2.189,0.661,1.275,3.19,2.17,194.607,262.289,2.454,83.529,1.742,1.431
19900430,19900506,7.172,4.935,2.116,8.638,3.066,272.577,266.744,4.632,84.382,1.451,1.319
19900507,19900513,6.867,4.934,1.475,7.974,2.294,250.747,276.438,3.324,83.628,3.041,1.531
19900514,19900520,8.545,6.809,1.343,9.496,2.036,221.625,299.039,3.533,83.927,2.132,1.065
19900521,19900527,6.868,5.406,1.173,7.671,1.622,178.159,303.071,2.399,83.689,5.507,1.658
19900528,19900603,6.527,4.608,1.848,7.556,2.584,275.522,269.862,5.271,83.866,0.768,1.76
19900604,19900610,6.162,4.76,1.041,6.863,1.45,143.572,310.108,1.731,83.2,6.544,2.024
19900611,19900617,7.167,5.366,1.388,8.068,1.947,207.35,299.729,3.496,83.649,2.623,1.739
19900618,19900624,9.712,7.957,1.144,10.59,1.919,218.764,312.243,3.655,83.808,4.311,2.009
19900625,19900701,12.5,10.213,1.144,13.644,2.035,264.521,318.078,4.502,84.186,5.651,1.954
19900702,19900708,8.264,6.772,1.268,9.01,2.026,186.646,310.239,3.494,83.71,5.198,2.22
19900709,19900715,11.753,9.465,2.474,12.897,3.01,294.612,301.027,6.789,84.173,1.743,1.665
19900716,19900722,13.025,10.761,1.813,14.173,2.982,301.054,303.061,8.87,84.355,0.379,1.783
19900723,19900729,13.303,11.072,1.618,14.561,2.708,286.746,307.522,8.389,84.133,0.66,1.459
19900730,19900805,13.67,11.736,1.652,14.83,2.394,260.339,319.357,6.104,84.539,3.067,1.27
19900806,19900812,10.643,9.154,1.65,11.537,2.189,227.756,300.901,5.598,84.224,3.903,1.837
19900813,19900819,10.635,9.051,1.629,11.654,2.062,208.242,309.88,3.861,84.111,4.571,1.57
19900820,19900826,10.901,9.049,1.876,12.195,2.629,226.01,303.368,5.307,84.232,1.485,1.722
19900827,19900902,9.838,8.302,1.218,10.966,2.148,183.954,304.605,3.745,84.042,2.967,1.66
19900903,19900909,7.025,5.694,1.48,8.06,2.031,159.945,293.961,3.164,83.726,1.836,1.702
19900910,19900916,6.822,5.38,1.475,7.999,2.467,170.454,284.195,3.62,84.178,0.557,1.634
19900917,19900923,7.482,6.167,1.294,8.692,2.132,129.678,299.158,2.792,83.493,2.652,2.071
19900924,19900930,5.978,4.58,1.824,7.281,2.373,147.151,278.074,3.408,83.928,1.953,1.781
19901001,19901007,6.803,5.562,1.357,8.057,2.07,105.962,298.594,2.267,83.881,3.291,2.171
19901008,19901014,6.664,4.974,2.158,8.5,2.823,139.232,269.166,3.668,84.347,0.519,2.047
19901015,19901021,6.534,5.652,0.729,7.552,1.333,80.581,300.124,1.969,83.637,2.228,2.239
19901022,19901028,1.897,0.775,1.511,3.247,1.735,92.666,257.765,1.973,83.253,2.39,2.132
19901029,19901104,-0.278,-1.097,1.024,0.823,0.979,60.931,254.563,1.464,82.305,4.936,1.695
19901105,19901111,-3.16,-4.9,2.651,-0.725,3.12,86.488,216.232,2.135,83.881,1.165,0.935
19901112,19901118,0.506,-0.594,1.554,2.082,1.691,66.476,251.95,1.828,83.897,1.517,1.203
